# System start time: 2018-01-17--13-21-07
# Scenario path: C:\MAK\vrforces4.5\userData\scenarios\it3903\brooklyn-simple.scnx
# Unit marking: F1-W1[c]
timestamp, distance to target
328.0, 730.4010982094817
329.0, 729.7089284347112
330.0, 729.0191361929309
331.0, 726.8362511830524
332.0, 724.6557947402531
333.0, 722.4777885850513
334.0, 720.3022089090297
335.0, 718.1290633145269
336.0, 715.9584023698236
337.0, 713.790196352696
338.0, 711.6244845371453
339.0, 709.4612581870126
340.0, 707.3005667127613
341.0, 705.1423709745533
342.0, 702.9867168622769
343.0, 700.8336016158719
344.0, 698.6830702641433
345.0, 696.5350963864785
346.0, 694.3896981229606
347.0, 692.2469207737139
348.0, 690.1067909266734
349.0, 687.9692332622989
350.0, 685.8343444815912
351.0, 683.7020849640386
352.0, 681.5725153445577
353.0, 679.4456609198811
354.0, 677.3214357804784
355.0, 675.1999286992909
356.0, 673.0812037132209
357.0, 670.9651373194848
358.0, 668.8518338835149
359.0, 666.7413535529439
360.0, 664.63359180924
361.0, 662.5286398290843
362.0, 660.4264664408208
363.0, 658.3271553593352
364.0, 656.2306705697797
365.0, 654.1369968820882
366.0, 652.0461824197007
367.0, 649.9582674592363
368.0, 647.8732800331611
369.0, 645.791248497913
370.0, 643.7119492382626
371.0, 641.6356656618433
372.0, 639.5623576938711
373.0, 637.4920058885672
374.0, 635.4246110650196
375.0, 633.3602773381821
376.0, 631.2988968040979
377.0, 629.2405472008819
378.0, 627.1852232459133
379.0, 625.1329809514914
380.0, 623.0838196542602
381.0, 621.0377303346949
382.0, 618.9947315315511
383.0, 616.9548819410111
384.0, 614.9182129065177
385.0, 612.8847561321829
386.0, 610.854184368441
387.0, 608.8269320485205
388.0, 606.8029048366961
389.0, 604.7820964965557
390.0, 602.7645643516851
391.0, 600.7503414052494
392.0, 598.7391846101926
393.0, 596.7313863609758
394.0, 594.7268897889275
395.0, 592.7257404833957
396.0, 590.7279343229264
397.0, 588.7334723253778
398.0, 586.7423725736005
399.0, 584.7546321917087
400.0, 582.7703257608948
401.0, 580.789434820798
402.0, 578.812028411832
403.0, 576.8379822066603
404.0, 574.8674256500741
405.0, 572.9003759163166
406.0, 570.9368172619002
407.0, 568.9768178783307
408.0, 567.020414668043
409.0, 565.0676449950738
410.0, 563.1181385700095
411.0, 561.172414441044
412.0, 559.2303543098627
413.0, 557.2918431605832
414.0, 555.3570129756494
415.0, 553.4258954476779
416.0, 551.4985024128277
417.0, 549.574748914248
418.0, 547.6547717386854
419.0, 545.7384978897275
420.0, 543.8260610468035
421.0, 541.917336249519
422.0, 540.0124568098872
423.0, 538.1113646216465
424.0, 536.2141502808743
425.0, 534.3207980435194
426.0, 532.4313274352218
427.0, 530.5458133582011
428.0, 528.6641311547614
429.0, 526.7863968861272
430.0, 524.9126570029924
431.0, 523.042954432974
432.0, 521.1771537928611
433.0, 519.315385429138
434.0, 517.457691438714
435.0, 515.6041158608626
436.0, 513.7545441239172
437.0, 511.9090685904577
438.0, 510.0677745204509
439.0, 508.23057144797895
440.0, 506.39760447957065
441.0, 504.56876127221506
442.0, 502.74419181458484
443.0, 500.92379921779786
444.0, 499.1076989924202
445.0, 497.295889954867
446.0, 495.4883345847627
447.0, 493.68517696853814
448.0, 491.88626134157556
449.0, 490.09173858125195
450.0, 488.3016571138315
451.0, 486.5158938615398
452.0, 484.73461658727894
453.0, 482.9577454150665
454.0, 481.18530544478546
455.0, 479.4174118474671
456.0, 477.65397713624293
457.0, 475.89511533532163
458.0, 474.1408705844428
459.0, 472.39113056736437
460.0, 470.64596887973147
461.0, 468.90551070996327
462.0, 467.16966324183613
463.0, 465.4384646006291
464.0, 463.71191901807447
465.0, 461.9901202923116
466.0, 460.27312169678106
467.0, 458.56078524374493
468.0, 456.8532162911424
469.0, 455.15053721459685
470.0, 453.45262654201224
471.0, 451.7595350936229
472.0, 450.0713580337214
473.0, 448.38811583939486
474.0, 446.70977418923025
475.0, 445.0363124327569
476.0, 443.3677860516922
477.0, 441.70432842926533
478.0, 440.04581746703053
479.0, 438.39238078837815
480.0, 436.74394077505474
481.0, 435.1005570758937
482.0, 433.46236313099416
483.0, 431.82923273296234
484.0, 430.2012688794821
485.0, 428.5784469424429
486.0, 426.96084793845824
487.0, 425.3484046182924
488.0, 423.74119376017023
489.0, 422.1393247470119
490.0, 420.54271215907164
491.0, 418.9513632536389
492.0, 417.36532167107384
493.0, 415.784677540806
494.0, 414.2094086041089
495.0, 412.63962374181324
496.0, 411.07507413867387
497.0, 409.5160642231236
498.0, 407.962456108446
499.0, 406.41439885999154
500.0, 404.871860158744
501.0, 403.3347770954592
502.0, 401.8033106005354
503.0, 400.27743371064105
504.0, 398.7570829896409
505.0, 397.24240018787776
506.0, 395.7334503838892
507.0, 394.23000926041675
508.0, 392.73227230072933
509.0, 391.2402928962128
510.0, 389.7540488755989
511.0, 388.27356915928357
512.0, 386.79880313392965
513.0, 385.3298868370807
514.0, 383.8668191228901
515.0, 382.40949827761193
516.0, 380.9581281909123
517.0, 379.5125555986955
518.0, 378.07288796347206
519.0, 376.63921059830204
520.0, 375.21151701114513
521.0, 373.7896886448917
522.0, 372.3738999355712
523.0, 370.9642200337399
524.0, 369.56042281202855
525.0, 368.16267072926854
526.0, 366.77103749579885
527.0, 365.3855930209237
528.0, 364.0061221039574
529.0, 362.63277280814924
530.0, 361.2656243894183
531.0, 359.9047377565787
532.0, 358.54991672872177
533.0, 357.2012600549456
534.0, 355.85890257697326
535.0, 354.5227004356029
536.0, 353.192798884688
