# System start time: 2018-01-26--16-15-02
# Scenario path: C:\MAK\vrforces4.5\userData\scenarios\it3903\brooklyn-simple.scnx
# Unit marking: F1-W1[c]
timestamp, distance to target
1.0, 8.661262253421608
2.0, 8.661262253421608
3.0, 7.605186760316659
4.0, 6.720138164209173
5.0, 4.283793881587645
6.0, 5.770919167107285
7.0, 7.2633405202311945
8.0, 8.747292144977278
9.0, 10.229151805031245
10.0, 11.71820614108555
11.0, 13.2101163823949
12.0, 14.703744206350832
13.0, 16.198549377976942
14.0, 17.694270634994783
15.0, 19.190646694623492
16.0, 20.16063543966668
17.0, 21.588893514346108
18.0, 23.021295788368704
19.0, 24.46073185282798
20.0, 25.90667593210686
21.0, 27.358441148697334
22.0, 28.81280759745617
23.0, 30.28909708440341
24.0, 31.768930214528673
25.0, 33.247695491954396
26.0, 34.72828205644256
27.0, 36.20980275322555
28.0, 37.6927850657279
29.0, 39.17530221902988
30.0, 40.65725157066179
31.0, 42.14346105699733
32.0, 43.629565654424134
33.0, 45.119411759128816
34.0, 46.60990910464779
35.0, 48.101473570327585
36.0, 49.59354678219814
37.0, 51.08728016174996
38.0, 52.581495860720615
39.0, 54.07603174008754
40.0, 55.570861968549785
41.0, 57.06637223313926
42.0, 58.56216283463699
43.0, 60.058163328963474
44.0, 61.55435841165762
45.0, 64.52230873134317
46.0, 64.54727821140403
47.0, 64.5751040524231
48.0, 64.605076114102
49.0, 64.63744425262095
50.0, 64.67220486161793
51.0, 64.70935925069543
52.0, 66.2084779771939
53.0, 66.24623502956602
54.0, 66.28621649929596
55.0, 66.32925111516
56.0, 66.37364968787745
57.0, 67.87239341200468
58.0, 67.91811604264728
59.0, 67.96133165546695
60.0, 68.00548856760001
61.0, 68.91474058406747
62.0, 68.89826447823006
63.0, 70.38320528662506
64.0, 70.36642871457937
65.0, 70.35025173583398
66.0, 70.19105586790712
67.0, 69.64560077203183
68.0, 68.93627617422594
69.0, 69.68127874758382
70.0, 68.93259722429531
71.0, 68.1847935662086
72.0, 66.70083270064858
73.0, 65.21710642368096
74.0, 63.73414191951694
75.0, 63.33110870673908
76.0, 60.845118267255934
77.0, 58.763376507195
78.0, 55.87576678518544
79.0, 52.99045920048278
80.0, 50.10425577520934
81.0, 47.221286371277465
82.0, 46.061002925166164
83.0, 46.088593013390145
84.0, 45.128054026936425
85.0, 44.16519363134267
86.0, 42.67556194049096
87.0, 41.18910012364512
88.0, 39.69387515535099
89.0, 38.20007724844759
90.0, 36.70173524981998
91.0, 35.203912423403885
92.0, 33.70440007172769
93.0, 32.2050481257511
94.0, 30.705146686340207
95.0, 29.205274505749415
96.0, 27.705279001427897
97.0, 26.20528381442974
98.0, 24.705263568613887
99.0, 23.20531054258747
100.0, 21.705363762078896
